"year","month","total_songs","total_minutes","unique_songs","unique_artists","unique_genre","avg_bpm","sd_bpm","avg_nrgy","sd_nrgy"
2016,3,2060,6265.807666666688,1016,451,52,122.2407221664995,25.617518531326397,65.7001003009027,23.36220237884111
2016,4,1779,5576.2611666666535,902,415,42,119.55277475516864,25.94075683911376,57.17192600652885,24.16484860619028
2016,5,1315,4544.278649999982,795,436,58,116.5922222222222,26.480780814858537,62.27333333333335,21.998603454511137
2016,6,1545,5181.884133333331,883,545,59,120.86728395061726,27.528879688797986,64.90020576131688,23.189305570705294
2016,7,749,1827.4692000000005,476,347,40,122.23126338329763,25.02398092554042,70.32762312633834,20.49426140037576
2016,8,932,2355.199166666666,611,459,35,122.90000000000002,27.92914549608695,67.34117647058822,21.361920157844484
2016,9,464,1346.8766833333334,289,230,20,118.74096385542168,29.017221787715545,59.86144578313253,21.213462456944516
2016,10,460,1435.2605333333324,287,202,23,115.25,23.23435030323864,66.68918918918921,23.013409681932263
2016,11,777,2269.890083333337,444,299,53,119.64534075104311,27.39605734528564,64.68706536856746,22.712646941066502
2016,12,387,1247.1560666666678,202,148,18,135.54545454545456,36.53449895574999,59.627272727272725,20.728670763335945
2017,1,938,2948.109633333334,626,438,52,118.124773960217,29.77464849683439,65.11573236889691,21.30653575343261
2017,2,910,3151.022849999997,570,415,51,117.81818181818183,24.538502446865497,57.39272727272728,23.358190152347934
2017,3,1051,3384.440133333336,571,401,52,122.37339055793993,24.494503664490072,67.59442060085837,20.49559855679286
2017,4,1663,5277.912583333329,842,480,68,120.99511002444991,25.904328476480742,66.80684596577014,20.267365069561407
2017,5,1525,4729.473183333326,752,436,74,121.42525979216626,26.00722610030629,67.0007993605116,21.501237158836034
2017,6,939,2578.187983333329,456,257,52,122.48444444444445,24.92893718153644,69.69333333333331,20.10829434546051
2017,7,293,835.9648666666662,206,143,33,121.54054054054055,23.959537453811826,67.1081081081081,18.90837701367907
2017,8,541,1473.6883333333333,386,218,54,122.03240740740742,24.58724445753547,67.19675925925927,19.828164099618473
2017,9,1496,4752.684133333327,900,480,68,122.20563674321501,27.091633845363994,67.68475991649267,21.40246759410708
2017,10,638,1671.6385499999994,477,302,50,121.74588235294118,26.08325545855648,67.99058823529411,20.55480263125306
2017,11,1001,2789.670950000003,383,242,32,125.94153225806451,28.983426278815994,73.05040322580645,15.84366424810805
2017,12,1390,4146.156316666668,756,407,48,124.3448275862069,25.687972017836408,66.92353823088456,18.77874575062533
2018,1,345,1018.5772333333327,305,207,39,121.5046439628483,26.097448950437094,66.81114551083591,21.39944562149526
2018,2,609,1331.9338833333313,334,234,38,121.93673469387757,26.75064889511723,67.55102040816327,20.126553820532447
2018,3,461,986.4025166666668,233,190,33,119.21629213483146,32.62662636410866,67.24438202247192,16.237995675596487
2018,4,663,1801.9705333333366,344,217,51,117.89184397163119,28.364238438057747,70.54787234042551,18.535631638151337
2018,5,243,586.8024833333338,88,61,10,113.10328638497653,27.06959302441063,68.84507042253522,14.276562024036085
2018,6,485,1188.3551999999995,213,158,30,120.28398058252428,23.080614793593124,69.65291262135922,15.528747887731186
2018,7,710,1976.7678166666674,387,272,42,125.09642857142858,23.607812025963078,71.19107142857143,19.27266713024728
2018,8,447,985.9831000000005,178,132,32,123.03999999999999,23.928950089931178,70.312,17.250009377661566
2018,9,439,978.758533333333,260,174,34,119.264406779661,22.307024020480505,64.42711864406779,20.85014421481043
2018,10,309,856.1330500000001,150,110,31,121.97769516728624,26.088387804730544,63.241635687732334,23.195574532905127
2018,11,303,697.1981499999998,226,175,29,123.59701492537314,26.748092308614304,64.44029850746269,20.572085325680174
2018,12,339,937.5592833333328,292,206,45,120.8235294117647,25.815988801085595,67.30795847750865,20.05232666047184
2019,1,354,955.0412999999999,194,123,25,124.07089552238806,24.73164230353985,69.73507462686568,16.157950501653538
2019,2,693,1439.6782666666684,272,207,37,126.19108280254777,25.274947757496818,76.02335456475583,14.542874478061583
2019,3,486,1284.7816999999998,299,209,23,118.34415584415585,26.97139125100464,60.59740259740259,25.11008949638759
2019,4,257,593.4640499999997,216,184,27,123.65734265734265,26.906490367097607,68.62937062937063,20.01678110130201
2019,5,1810,5623.876683333344,894,427,72,124.60495739736635,26.36412479450729,67.81797056545312,19.523712934042948
2019,6,2064,5869.051300000008,773,367,47,120.35879828326176,24.738911958242213,68.10300429184548,18.231935452604052
2019,7,484,1596.1609166666683,286,186,33,119.33423913043478,24.805724079401987,68.36141304347827,17.703502021603807
2019,8,1233,3638.632533333331,403,185,26,121.42455242966751,30.893129746732754,63.90920716112532,16.315179679517957
